"Your account has been configured to use a different currency. Please complete the purchase in the currency: ","Your account has been configured to use a different currency. Please complete the purchase in the currency: "
"Recurring Profile","Subscription"
"Recurring Profiles","Subscriptions"
"Nominal Items","Subscriptions"
"Coupon Code","Coupon Code"
"Your recurring payment profiles:","Your subscriptions:"
"Payment profile # %s: ""%s"".","Subscription # %s: ""%s""."
"Recurring Profile # %s","Subscription # %s"
"The profile state has been updated","The subscription state has been updated"
"Back to Recurring Profiles","Back to Subscriptions"
"Profile Schedule","Subscription Schedule"
"Profile Payments","Subscription Payments"
"Profile State","State"
"Schedule Description","Subscription"
"About This Profile:","About This Subscription:"
"Profile Information","Subscription Information"
"Orders Based on This Profile","Orders Based on This Subscription"
"The profile state has been updated.","The subscription been updated."
"You must be logged in before you can buy a subscription.","You must be logged in before you can buy a subscription."